symbols,security,GICS_sector,GICS_sub_industry,headquarters_location,date_added,founded,open,high,low,close,volumes,dividends,stock_splits
ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23,1981,473.7799987792969,475.75,461.6099853515625,466.2900085449219,406100.0,0.0,0.0
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,1982,109.0,111.87000274658203,108.80999755859375,109.5999984741211,1779600.0,0.0,0.0
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,1997,71.12000274658203,73.30000305175781,71.08000183105469,71.5999984741211,4254400.0,0.0,0.0
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",,1917,475.7699890136719,478.0299987792969,464.8399963378906,470.3399963378906,1440300.0,0.0,0.0
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",2008-09-15,1999,262.0,262.1499938964844,253.3000030517578,255.58999633789062,7226300.0,0.0,0.0
SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01,1989,365.0199890136719,365.2300109863281,355.1700134277344,363.5,725000.0,0.0,0.0
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,1926,29.690000534057617,30.280000686645508,29.559999465942383,29.670000076293945,8515900.0,0.0,0.0
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,1979,101.05000305175781,102.62000274658203,100.06999969482422,102.44000244140625,1813800.0,0.0,0.0
SEE,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina",1957-03-04,1960,65.11000061035156,66.23999786376953,63.939998626708984,64.1500015258789,1103100.0,0.0,0.0
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1998,126.4000015258789,127.5999984741211,125.94999694824219,126.1500015258789,1812600.0,0.0,0.0
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,2003,642.0900268554688,646.9000244140625,607.1900024414062,624.6900024414062,1659400.0,0.0,0.0
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,1866,346.3500061035156,346.3500061035156,340.05999755859375,342.760009765625,918800.0,0.0,0.0
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,2003,151.08999633789062,152.2100067138672,149.85000610351562,150.92999267578125,1999800.0,0.0,0.0
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,2002,159.16000366210938,161.3300018310547,158.39999389648438,159.3800048828125,1369200.0,0.0,0.0
SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30,1920,212.75999450683594,214.75999450683594,209.9600067138672,212.88999938964844,442000.0,0.0,0.0
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,1945,66.16999816894531,66.45999908447266,65.66999816894531,65.97000122070312,4289700.0,0.0,0.0
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",1994-07-01,1967,40.349998474121094,41.220001220703125,40.08000183105469,40.2400016784668,9599700.0,0.0,0.0
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30,1843,191.52999877929688,194.92999267578125,190.44000244140625,191.3800048828125,1281500.0,0.0,0.0
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",,1971,114.56999969482422,115.30000305175781,114.02999877929688,114.70999908447266,6853800.0,0.0,0.0
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,1792,91.11000061035156,93.0,90.83000183105469,92.0999984741211,1840500.0,0.0,0.0
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",2019-12-23,1985,228.0800018310547,229.8000030517578,224.80999755859375,226.8300018310547,406200.0,0.0,0.0
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,1941,258.25,259.2699890136719,254.32000732421875,254.75,1082200.0,0.0,0.0
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",2018-03-19,1983,675.0800170898438,689.219970703125,667.5800170898438,676.6799926757812,373600.0,0.0,0.0
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,2003,46.25,47.400001525878906,46.09000015258789,46.83000183105469,4292700.0,0.0,0.0
SNPS,Synopsys,Information Technology,Application Software,"Mountain View, California",2017-03-16,1986,354.9700012207031,357.8800048828125,341.92999267578125,345.92999267578125,940300.0,0.0,0.0
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,1969,73.45999908447266,74.0999984741211,72.83999633789062,73.5199966430664,3534300.0,0.0,0.0
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1994,114.62999725341797,118.30000305175781,114.29000091552734,117.30999755859375,5301000.0,0.0,0.0
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1937,192.0800018310547,193.0399932861328,188.74000549316406,190.02000427246094,1460300.0,0.0,0.0
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",2018-03-19,1993,164.36000061035156,167.75999450683594,163.47999572753906,167.6300048828125,676600.0,0.0,0.0
TPR,Tapestry,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",,2017,41.900001525878906,42.9900016784668,41.68000030517578,42.459999084472656,5785900.0,0.0,0.0
TGT,Target,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,1902,230.91000366210938,236.16000366210938,230.91000366210938,235.27999877929688,3364000.0,0.0,0.0
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,2007,158.0800018310547,159.00999450683594,155.72000122070312,157.10000610351562,1393300.0,0.0,0.0
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,"Thousand Oaks, California",2020-06-22,1960,431.80999755859375,434.6199951171875,430.0,432.05999755859375,156900.0,0.0,0.0
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,1943,318.4599914550781,323.1099853515625,317.760009765625,317.7799987792969,368300.0,0.0,0.0
TER,Teradyne,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020-09-21,1960,153.88999938964844,156.30999755859375,152.02000427246094,155.94000244140625,1076300.0,0.0,0.0
TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",2020-12-21,2003,945.0,966.4099731445312,930.0,958.510009765625,23533000.0,0.0,0.0
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,1930,190.97000122070312,191.67999267578125,188.16000366210938,190.27000427246094,6130100.0,0.0,0.0
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,1923,73.05999755859375,74.13999938964844,72.6500015258789,73.13999938964844,1268600.0,0.0,0.0
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,2006 (1902),640.0,643.3300170898438,624.3800048828125,632.1099853515625,1491500.0,0.0,0.0
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,1987,72.68000030517578,73.69000244140625,72.58999633789062,72.94000244140625,6972700.0,0.0,0.0
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,1938,232.89999389648438,234.97999572753906,230.88999938964844,234.19000244140625,884300.0,0.0,0.0
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",2010-11-17,1871,199.9600067138672,202.6300048828125,197.44000244140625,199.8000030517578,1576000.0,0.0,0.0
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1993,589.72998046875,597.2999877929688,581.469970703125,583.739990234375,221600.0,0.0,0.0
TRV,The Travelers Companies,Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,1853,153.47000122070312,158.22000122070312,153.2100067138672,156.72999572753906,2033100.0,0.0,0.0
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",2021-01-21,1978,85.0199966430664,85.55000305175781,82.62999725341797,83.87000274658203,1016400.0,0.0,0.0
TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,1872,58.31999969482422,59.43000030517578,58.220001220703125,58.65999984741211,5715400.0,0.0,0.0
TWTR,Twitter,Communication Services,Interactive Media & Services,"San Francisco, California",2018-06-07,2006,44.040000915527344,44.689998626708984,43.70000076293945,44.349998474121094,11197000.0,0.0,0.0
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020-06-22,1966,510.4200134277344,513.4600219726562,500.8800048828125,505.82000732421875,176700.0,0.0,0.0
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,1935,85.25,86.43000030517578,84.8499984741211,85.75,3077700.0,0.0,0.0
UDR,UDR,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,1972,59.349998474121094,59.58000183105469,58.11000061035156,58.59000015258789,2806100.0,0.0,0.0
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,1990,382.5400085449219,391.0299987792969,380.7699890136719,389.6499938964844,896100.0,0.0,0.0
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,1968,56.93000030517578,57.880001068115234,56.810001373291016,57.310001373291016,4585600.0,0.0,0.0
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01,1996,22.399999618530273,22.700000762939453,22.200000762939453,22.25,3843500.0,0.0,0.0
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-04-08,1996,19.110000610351562,19.3700008392334,18.950000762939453,19.010000228881836,1883789.0,0.0,0.0
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",1957-03-04,1862,245.50999450683594,247.0,243.27999877929688,244.61000061035156,2682200.0,0.0,0.0
UAL,United Airlines,Industrials,Airlines,"Chicago, Illinois",2015-09-03,1967,41.15999984741211,42.59000015258789,41.15999984741211,41.380001068115234,12272700.0,0.0,0.0
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,1977,479.75,483.0400085449219,477.17999267578125,479.4599914550781,3018000.0,0.0,0.0
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,1907,205.1999969482422,207.14999389648438,203.0800018310547,203.74000549316406,1930500.0,0.0,0.0
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1997,335.6700134277344,342.07000732421875,333.4200134277344,337.5799865722656,471100.0,0.0,0.0
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,1979,128.6699981689453,130.89999389648438,127.66000366210938,127.88999938964844,549600.0,0.0,0.0
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1980,67.69000244140625,70.29000091552734,67.66000366210938,68.19000244140625,2694000.0,0.0,0.0
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,1998,48.54999923706055,48.880001068115234,47.540000915527344,47.720001220703125,2946800.0,0.0,0.0
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,1995,241.64999389648438,242.19000244140625,233.32000732421875,238.07000732421875,712800.0,0.0,0.0
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1971,227.38999938964844,229.39999389648438,224.25,224.8000030517578,844800.0,0.0,0.0
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983-11-30,1983 (1877),50.369998931884766,51.150001525878906,50.18000030517578,50.650001525878906,31549100.0,0.0,0.0
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,1989,208.27999877929688,209.99000549316406,206.89999389648438,209.24000549316406,1370100.0,0.0,0.0
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1979-06-30,1899,73.9800033569336,74.26000213623047,73.26000213623047,73.56999969482422,3018400.0,0.0,0.0
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,"New York City, New York",,2019 (1952),29.8799991607666,30.190000534057617,29.530000686645508,29.600000381469727,12232900.0,0.0,0.0
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,1961,12.550000190734863,13.149999618530273,12.550000190734863,12.8100004196167,10521700.0,0.0,0.0
V,Visa,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,1958,210.72999572753906,213.3699951171875,208.4499969482422,209.97999572753906,9829700.0,0.0,0.0
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York City, New York",,1982,41.2599983215332,41.779998779296875,40.77000045776367,40.84000015258789,1774300.0,0.0,0.0
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1909,203.2100067138672,205.3300018310547,202.13999938964844,204.13999938964844,792700.0,0.0,0.0
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,1967,80.83999633789062,82.3499984741211,80.25,81.4800033569336,814000.0,0.0,0.0
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",2019-02-27,1999 (1869),89.29000091552734,90.1500015258789,88.19000244140625,88.79000091552734,731300.0,0.0,0.0
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,1962,143.3000030517578,145.27999877929688,142.14999389648438,144.94000244140625,15570900.0,0.0,0.0
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,2014,49.13999938964844,50.459999084472656,49.0,49.31999969482422,5314400.0,0.0,0.0
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1923,149.25999450683594,151.6199951171875,148.52000427246094,149.10000610351562,10867800.0,0.0,0.0
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",,1968,163.60000610351562,164.19000244140625,161.13999938964844,162.5800018310547,1971200.0,0.0,0.0
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1958,341.8999938964844,345.20001220703125,338.42999267578125,342.0400085449219,664400.0,0.0,0.0
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,1896,95.0999984741211,95.37999725341797,94.5199966430664,94.76000213623047,2062400.0,0.0,0.0
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,1852,48.61000061035156,49.4900016784668,48.599998474121094,48.88999938964844,17592500.0,0.0,0.0
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,1970,83.44000244140625,83.98999786376953,81.23999786376953,82.19000244140625,2311000.0,0.0,0.0
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,1923,437.07000732421875,437.57000732421875,423.80999755859375,428.69000244140625,347000.0,0.0,0.0
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,1970,55.2599983215332,56.59000015258789,55.04999923706055,55.630001068115234,3133800.0,0.0,0.0
WU,Western Union,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",2006-09-29,1851,18.270000457763672,18.600000381469727,18.18000030517578,18.200000762939453,8247400.0,0.0,0.0
WRK,WestRock,Materials,Paper Packaging,"Atlanta, Georgia",,2015,43.099998474121094,43.959999084472656,43.0,43.310001373291016,2355600.0,0.0,0.0
WY,Weyerhaeuser,Real Estate,Specialized REITs,"Seattle, Washington",,1900,40.130001068115234,40.130001068115234,38.790000915527344,38.88999938964844,5294700.0,0.0,0.0
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,1911,227.80999755859375,233.3699951171875,226.5399932861328,232.02000427246094,901900.0,0.0,0.0
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,1908,26.280000686645508,26.5,25.81999969482422,25.8799991607666,10045100.0,0.0,0.0
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, England",2016-01-05,2016,231.11000061035156,232.8800048828125,229.33999633789062,232.1699981689453,1831600.0,0.0,0.0
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,2002,83.0,84.5,82.30999755859375,83.31999969482422,2907100.0,0.0,0.0
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,1909,67.31999969482422,67.66999816894531,66.72000122070312,67.38999938964844,2949800.0,0.0,0.0
XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",1999-11-08,1984,205.1999969482422,212.30999755859375,203.3300018310547,209.80999755859375,2631500.0,0.0,0.0
XYL,Xylem,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01,2011,121.3499984741211,121.87999725341797,118.22000122070312,118.68000030517578,1298600.0,0.0,0.0
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1997,131.55999755859375,133.0,131.5,131.99000549316406,1434500.0,0.0,0.0
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,1969,597.3400268554688,599.1099853515625,582.5599975585938,585.8599853515625,286400.0,0.0,0.0
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,1927,124.94000244140625,126.37000274658203,123.08999633789062,123.27999877929688,1291700.0,0.0,0.0
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,1873,61.25,62.4900016784668,61.119998931884766,62.27000045776367,1633300.0,0.0,0.0
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2013-06-21,1952,230.0,230.99000549316406,226.44000244140625,228.07000732421875,1762100.0,0.0,0.0
